Name,Ind,Code
Adams,0,gray
Alfa Romeo,1,darkred
Alta,2,gray
Cooper,3,cadetblue
Deidt,4,gray
ERA,5,gray
Ewing,6,gray
Ferrari,7,red
Kurtis Kraft,8,yellow
Langley,9,gray
Lesovsky,10,gray
Marchese,11,gray
Maserati,12,darkred
Milano,13,gray
Moore,14,gray
Nichels,15,gray
Olson,16,gray
Rae,17,gray
Simca,18,gray
Snowberger,19,gray
Stevens,20,gray
Talbot-Lago,21,lightblue
Watson,22,gray
Wetteroth,23,gray
BRM,24,lightgray
Bromme,25,gray
Hall,26,gray
HWM,27,darkgreen
Kuzma,28,gainsboro
OSCA,29,gray
Pawl,30,gray
Schroeder,31,gray
Sherman,32,gray
Trevis,33,gray
Veritas,34,gray
AFM,35,gray
Aston Butterworth,36,gray
BMW,37,gray
Cisitalia,38,gray
Connaught,39,darkgreen
Frazer Nash,40,gray
Gordini,41,blue
Del Roy,42,gray
EMW,43,gray
Turner,44,gray
Klenk,45,gray
Lancia,46,gray
Mercedes,47,skyblue
Pankratz,48,gray
Phillips,49,gray
Vanwall,50,darkgreen
Arzani-Volpini,51,gray
Epperly,52,gray
Bugatti,53,gray
Emeryson,54,gray
Dunn,55,gray
Porsche,56,fuchsia
Team Lotus,57,gold
Aston Martin,58,gray
Christensen,59,gray
Cooper-Borgward,60,gray
Cooper-Climax,61,darkblue
Cooper-Maserati,62,darkgray
Cooper-OSCA,63,gray
Elder,64,gray
Fry,65,gray
JBW,66,gray
Sutton,67,gray
Tec-Mec,68,gray
Behra-Porsche,69,gray
Cooper-Castellotti,70,gray
Meskowski,71,gray
Scarab,72,gray
De Tomaso-Alfa Romeo,73,gray
De Tomaso-Osca,74,gray
Ferguson,75,gray
Gilby,76,gray
Lotus-Climax,77,lightgreen
Lotus-Maserati,78,gray
MBM,79,gray
Brabham,80,darkblue
Cooper-Alfa Romeo,81,gray
De Tomaso,82,gray
ENB,83,gray
LDS,84,gray
Lola,85,orangered
Lotus-Borgward,86,gray
Lotus-BRM,87,gold
ATS,88,yellow
BRP,89,gray
De Tomaso-Ferrari,90,gray
Lotus-Ford,91,gold
Scirocco,92,gray
Stebro,93,gray
Brabham-BRM,94,darkblue
Brabham-Climax,95,lightblue
Brabham-Ford,96,darkblue
Derrington,97,gray
Honda,98,lightgreen
Cooper-Ford,99,gray
LDS-Alfa Romeo,100,gray
LDS-Climax,101,gray
RE,102,gray
Brabham-Repco,103,forestgreen
Cooper-Ferrari,104,gray
Eagle-Climax,105,gray
Eagle-Weslake,106,gray
McLaren-Ford,107,red
McLaren-Serenissima,108,gray
Shannon,109,gray
Cooper-ATS,110,gray
Matra,111,blue
McLaren-BRM,112,gray
Protos,113,gray
Cooper-BRM,114,gray
Matra-Ford,115,orange
McLaren,116,orange
BRM-Ford,117,gray
Bellasi,118,gray
March,119,turquoise
McLaren-Alfa Romeo,120,gray
Surtees,121,blue
Tyrrell,122,darkblue
Lotus-Pratt &amp; Whitney,123,gray
March-Alfa Romeo,124,gray
March-Ford,125,orange
Connew,126,gray
Politoys,127,gray
Tecno,128,gray
Ensign,129,red
Iso Marlboro,130,darkred
Shadow,131,black
Amon,132,gray
Hesketh,133,lightgray
Lyncar,134,gray
Maki,135,gray
Parnelli,136,gray
Penske,137,red
Token,138,gray
Trojan,139,gray
Embassy Hill,140,gray
Fittipaldi,141,yellow
Shadow-Ford,142,gray
Shadow-Matra,143,gray
Williams,144,lightblue
Boro,145,gray
Brabham-Alfa Romeo,146,red
Kojima,147,gray
Ligier,148,blue
Wolf,149,gold
Apollon,150,gray
LEC,151,gray
McGuire,152,gray
Renault,153,yellow
Arrows,154,darkorange
Martini,155,gray
Merzario,156,gray
Theodore,157,lightgrey
Kauhsen,158,gray
Rebaque,159,gray
Osella,160,lightblue
Toleman,161,darkviolet
RAM,162,black
Spirit,163,gray
Minardi,164,black
Zakspeed,165,darkred
AGS,166,black
Benetton,167,green
Coloni,168,yellow
Larrousse,169,green
Dallara,170,red
Euro Brun,171,orange
Rial,172,blue
Onyx,173,blue
Leyton House,174,turquoise
Life,175,gray
Fondmetal,176,dodgerblue
Footwork,177,red
Jordan,178,yellowgreen
Lambo,179,gray
Andrea Moda,180,gray
Sauber,181,blue
Pacific,182,lightblue
Simtek,183,darkblue
Forti,184,yellow
Prost,185,blue
Stewart,186,lightgrey
BAR,187,red
Jaguar,188,darkolivegreen
Toyota,189,rosybrown
Red Bull,190,darkblue
BMW Sauber,191,blue
MF1,192,gray
Spyker MF1,193,gray
Super Aguri,194,red
Toro Rosso,195,darkblue
Spyker,196,orange
Force India,197,orange
Brawn,198,yellow
HRT,199,lightpink
Lotus,200,gold
Virgin,201,red
Caterham,202,green
Lotus F1,203,black
Marussia,204,darkslategrey
Manor Marussia,205,darkred
Haas F1 Team,206,grey
Racing Point,207,pink
AlphaTauri,208,black
1-Win,209,darkblue
2-3,210,blue
4-5,211,cornflowerblue
6-10,212,lightblue
10-20,213,gray
>20,214,orange
DNF,215,red
